IDNUMBER	structure	fmla structure	mol weight structure	nHA	nHD	CLogP	nRB	nRings	PSA	compound_name	Saltdata	inchikey	smiles	ID	inchi	Source1536wWell	volume [nL]	well_location	plate_id
P7013870127		C17H15N3O2	293.328	5	2	2.8	5	3	75.1	3-phenyl-2-(quinazolin-4-ylamino)propanoic acid		LTKPIKDYYKMLDA-UHFFFAOYSA-N	OC(=O)C(Cc1ccccc1)Nc2ncnc3ccccc23	193	InChI=1S/C17H15N3O2/c21-17(22)15(10-12-6-2-1-3-7-12)20-16-13-8-4-5-9-14(13)18-11-19-16/h1-9,11,15H,10H2,(H,21,22)(H,18,19,20)	A11	100	A2	Peptide01
P7126262		C18H14N4O4	350.33668	8	4	2.2	6	3	124.4	2-[[4-(4-carboxyanilino)pyrimidin-2-yl]amino]benzoic acid		JIEYYXCRGAKHQL-UHFFFAOYSA-N	OC(=O)c1ccc(Nc2ccnc(Nc3ccccc3C(=O)O)n2)cc1	281	InChI=1S/C18H14N4O4/c23-16(24)11-5-7-12(8-6-11)20-15-9-10-19-18(22-15)21-14-4-2-1-3-13(14)17(25)26/h1-10H,(H,23,24)(H,25,26)(H2,19,20,21,22)	A12	100	A2	Peptide01
P0108440164		C13H14ClN3O4	311.72723	7	3	1.3	6	2	112.4	2-(quinazolin-4-ylamino)pentanedioic acid;hydrochloride	HCl	DOVJTDLMIJVCIZ-UHFFFAOYSA-N	Cl.OC(=O)CCC(Nc1ncnc2ccccc12)C(=O)O	25	InChI=1S/C13H13N3O4.ClH/c17-11(18)6-5-10(13(19)20)16-12-8-3-1-2-4-9(8)14-7-15-12;/h1-4,7,10H,5-6H2,(H,17,18)(H,19,20)(H,14,15,16);1H	A13	100	A2	Peptide01
P6248792		C12H14N2O6S2	346.38318	7	3	0.5	7	2	155.5	4-methylsulfanyl-2-[(2-oxo-3H-1,3-benzoxazol-6-yl)sulfonylamino]butanoic acid		LXJVNLWNCYFOCQ-UHFFFAOYSA-N	CSCCC(NS(=O)(=O)c1ccc2NC(=O)Oc2c1)C(=O)O	113	InChI=1S/C12H14N2O6S2/c1-21-5-4-9(11(15)16)14-22(18,19)7-2-3-8-10(6-7)20-12(17)13-8/h2-3,6,9,14H,4-5H2,1H3,(H,13,17)(H,15,16)	A14	100	A2	Peptide01
P1901319		C12H12N2O4	248.24044	4	3	0.6	4	2	95.5	3-(2,5-dioxo-4-phenyl-imidazolidin-4-yl)propanoic acid		RUWPCCQWDIAGAJ-UHFFFAOYSA-N	OC(=O)CCC1(NC(=O)NC1=O)c2ccccc2	201	InChI=1S/C12H12N2O4/c15-9(16)6-7-12(8-4-2-1-3-5-8)10(17)13-11(18)14-12/h1-5H,6-7H2,(H,15,16)(H2,13,14,17,18)	A15	100	A2	Peptide01
P7126282		C18H13FN4O4	368.32711	8	4	2.4	6	3	124.4	3-[[4-(4-carboxyanilino)-5-fluoro-pyrimidin-2-yl]amino]benzoic acid		HUVAXRKMLSODLE-UHFFFAOYSA-N	OC(=O)c1ccc(Nc2nc(Nc3cccc(c3)C(=O)O)ncc2F)cc1	289	InChI=1S/C18H13FN4O4/c19-14-9-20-18(22-13-3-1-2-11(8-13)17(26)27)23-15(14)21-12-6-4-10(5-7-12)16(24)25/h1-9H,(H,24,25)(H,26,27)(H2,20,21,22,23)	A16	100	A2	Peptide01
P7211800086		C22H23NO6S	429.49571	7	2	3.0	9	3	127.2	2-acetamido-3-[1-(1,3-benzodioxol-5-yl)-3-oxo-3-(p-tolyl)propyl]sulfanyl-propanoic acid		JOAAAEPWSLHEFF-UHFFFAOYSA-N	CC(=O)NC(CSC(CC(=O)c1ccc(C)cc1)c2ccc3OCOc3c2)C(=O)O	33	InChI=1S/C22H23NO6S/c1-13-3-5-15(6-4-13)18(25)10-21(30-11-17(22(26)27)23-14(2)24)16-7-8-19-20(9-16)29-12-28-19/h3-9,17,21H,10-12H2,1-2H3,(H,23,24)(H,26,27)	A17	100	A3	Peptide01
P0112170010		C20H18ClN3O5	415.83656	5	2	4.0	8	3	117.0	ethyl 2-[(2-chloro-4-nitro-benzoyl)amino]-3-(1H-indol-3-yl)propanoate		AEGMTRFJZYFDRR-UHFFFAOYSA-N	CCOC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)c3ccc(cc3Cl)[N+](=O)[O-]	121	InChI=1S/C20H18ClN3O5/c1-2-29-20(26)18(9-12-11-22-17-6-4-3-5-14(12)17)23-19(25)15-8-7-13(24(27)28)10-16(15)21/h3-8,10-11,18,22H,2,9H2,1H3,(H,23,25)	A18	100	A3	Peptide01
P7020531878		C20H21FN2O4S2	436.52777	5	2	2.8	6	4	112.9	rac-(3S,4R)-4-(4-fluorophenyl)sulfonyl-N-[2-(1H-indol-3-yl)ethyl]-1,1-dioxo-thiolan-3-amine		DYPADWACCKNIEC-PMACEKPBSA-N	Fc1ccc(cc1)S(=O)(=O)[C@H]2CS(=O)(=O)C[C@@H]2NCCc3c[nH]c4ccccc34	209	InChI=1S/C20H21FN2O4S2/c21-15-5-7-16(8-6-15)29(26,27)20-13-28(24,25)12-19(20)22-10-9-14-11-23-18-4-2-1-3-17(14)18/h1-8,11,19-20,22-23H,9-10,12-13H2/t19-,20-/m0/s1	A19	100	A3	Peptide01
P7126257		C18H14N4O4	350.33668	8	4	2.2	6	3	124.4	3-[[2-(4-carboxyanilino)pyrimidin-4-yl]amino]benzoic acid		IKLHTNBUNABFEP-UHFFFAOYSA-N	OC(=O)c1ccc(Nc2nccc(Nc3cccc(c3)C(=O)O)n2)cc1	297	InChI=1S/C18H14N4O4/c23-16(24)11-4-6-13(7-5-11)21-18-19-9-8-15(22-18)20-14-3-1-2-12(10-14)17(25)26/h1-10H,(H,23,24)(H,25,26)(H2,19,20,21,22)	A20	100	A3	Peptide01
P7020531789		C21H24N2O4S2	432.56443	5	2	3.1	6	4	112.9	rac-(3S,4R)-N-[2-(1H-indol-3-yl)ethyl]-1,1-dioxo-4-(p-tolylsulfonyl)thiolan-3-amine		XGJHIUYQKVQASN-SFTDATJTSA-N	Cc1ccc(cc1)S(=O)(=O)[C@H]2CS(=O)(=O)C[C@@H]2NCCc3c[nH]c4ccccc34	41	InChI=1S/C21H24N2O4S2/c1-15-6-8-17(9-7-15)29(26,27)21-14-28(24,25)13-20(21)22-11-10-16-12-23-19-5-3-2-4-18(16)19/h2-9,12,20-23H,10-11,13-14H2,1H3/t20-,21-/m0/s1	A21	100	A3	Peptide01
P7113220998		C23H22N2O2	358.44399	2	2	3.9	7	3	58.2	N'-(2,2-diphenylacetyl)-3-phenyl-propanehydrazide		JJUJRTBMVQRARA-UHFFFAOYSA-N	O=C(CCc1ccccc1)NNC(=O)C(c2ccccc2)c3ccccc3	129	InChI=1S/C23H22N2O2/c26-21(17-16-18-10-4-1-5-11-18)24-25-23(27)22(19-12-6-2-7-13-19)20-14-8-3-9-15-20/h1-15,22H,16-17H2,(H,24,26)(H,25,27)	A22	100	A3	Peptide01
P1090467		C21H21N3O7	427.41742	7	5	2.4	8	3	150.0	4,5-dimethoxy-2-[[rac-(1S)-1-carboxy-2-(1H-indol-3-yl)ethyl]carbamoylamino]benzoic acid		WSTDWYLHWCKFQQ-INIZCTEOSA-N	COc1cc(NC(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)O)c(cc1OC)C(=O)O	217	InChI=1S/C21H21N3O7/c1-30-17-8-13(19(25)26)15(9-18(17)31-2)23-21(29)24-16(20(27)28)7-11-10-22-14-6-4-3-5-12(11)14/h3-6,8-10,16,22H,7H2,1-2H3,(H,25,26)(H,27,28)(H2,23,24,29)/t16-/m0/s1	A23	100	A3	Peptide01
P7126239		C22H23N5O2	389.46091	7	3	3.6	6	4	90.4	2-[[2-[4-(1-piperidyl)anilino]pyrimidin-4-yl]amino]benzoic acid		OGIHIOXRGNLPDX-UHFFFAOYSA-N	OC(=O)c1ccccc1Nc2ccnc(Nc3ccc(cc3)N4CCCCC4)n2	305	InChI=1S/C22H23N5O2/c28-21(29)18-6-2-3-7-19(18)25-20-12-13-23-22(26-20)24-16-8-10-17(11-9-16)27-14-4-1-5-15-27/h2-3,6-13H,1,4-5,14-15H2,(H,28,29)(H2,23,24,25,26)	A24	100	A3	Peptide01
P7114600475		C22H27NO3	353.46539	3	1	4.2	9	2	55.4	methyl 2-(3,3-diphenylpropanoylamino)-4-methyl-pentanoate		QWMGPOSPZHMDMX-UHFFFAOYSA-N	COC(=O)C(CC(C)C)NC(=O)CC(c1ccccc1)c2ccccc2	49	InChI=1S/C22H27NO3/c1-16(2)14-20(22(25)26-3)23-21(24)15-19(17-10-6-4-7-11-17)18-12-8-5-9-13-18/h4-13,16,19-20H,14-15H2,1-3H3,(H,23,24)	A25	100	A4	Peptide01
P7015122933		C20H19BrN2O3	415.29003	3	2	4.2	7	3	71.2	ethyl 2-[(2-bromobenzoyl)amino]-3-(1H-indol-3-yl)propanoate		LXXYBCJAIZYCQG-UHFFFAOYSA-N	CCOC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)c3ccccc3Br	137	InChI=1S/C20H19BrN2O3/c1-2-26-20(25)18(23-19(24)15-8-3-5-9-16(15)21)11-13-12-22-17-10-6-4-7-14(13)17/h3-10,12,18,22H,2,11H2,1H3,(H,23,24)	A26	100	A4	Peptide01
P7714330989		C23H28N2O6S	460.55341	6	2	2.3	9	3	119.2	N-[4-[[2-(1,1-dioxothiolan-3-yl)acetyl]amino]-2,5-diethoxy-phenyl]benzamide		TURGENBWAZQRDT-UHFFFAOYSA-N	CCOc1cc(NC(=O)c2ccccc2)c(OCC)cc1NC(=O)CC3CCS(=O)(=O)C3	225	InChI=1S/C23H28N2O6S/c1-3-30-20-14-19(25-23(27)17-8-6-5-7-9-17)21(31-4-2)13-18(20)24-22(26)12-16-10-11-32(28,29)15-16/h5-9,13-14,16H,3-4,10-12,15H2,1-2H3,(H,24,26)(H,25,27)	A27	100	A4	Peptide01
P4796927		C15H23ClN6	322.84376	6	3	3.1	6	2	74.8	N4-(3,5-dimethylphenyl)-N2,N6-diethyl-1,3,5-triazine-2,4,6-triamine;hydrochloride	HCl	BVDSVCVKHZDZHG-UHFFFAOYSA-N	Cl.CCNc1nc(NCC)nc(Nc2cc(C)cc(C)c2)n1	313	InChI=1S/C15H22N6.ClH/c1-5-16-13-19-14(17-6-2)21-15(20-13)18-12-8-10(3)7-11(4)9-12;/h7-9H,5-6H2,1-4H3,(H3,16,17,18,19,20,21);1H	A28	100	A4	Peptide01
P7212090661		C19H23NO4S	361.46346	4	2	3.7	7	2	91.9	2-[(4-tert-butylphenyl)sulfonylamino]-3-phenyl-propanoic acid		AJHUCLCRIWTQMB-UHFFFAOYSA-N	CC(C)(C)c1ccc(cc1)S(=O)(=O)NC(Cc2ccccc2)C(=O)O	57	InChI=1S/C19H23NO4S/c1-19(2,3)15-9-11-16(12-10-15)25(23,24)20-17(18(21)22)13-14-7-5-4-6-8-14/h4-12,17,20H,13H2,1-3H3,(H,21,22)	A29	100	A4	Peptide01
P0124050177		C15H21NO6	311.33772	6	2	1.8	7	1	94.1	3-methyl-2-[(3,4,5-trimethoxybenzoyl)amino]butanoic acid		QTUHHHIOMGXNRY-UHFFFAOYSA-N	COc1cc(cc(OC)c1OC)C(=O)NC(C(C)C)C(=O)O	145	InChI=1S/C15H21NO6/c1-8(2)12(15(18)19)16-14(17)9-6-10(20-3)13(22-5)11(7-9)21-4/h6-8,12H,1-5H3,(H,16,17)(H,18,19)	A30	100	A4	Peptide01
P7118030744		C16H21NO7	339.34827	7	4	-0.9	5	2	125.3	N-[2-(4-acetylphenoxy)-4,5-dihydroxy-6-(hydroxymethyl)tetrahydropyran-3-yl]acetamide		OVHOAEHEUDCBPZ-UHFFFAOYSA-N	CC(=O)NC1C(Oc2ccc(cc2)C(=O)C)OC(CO)C(O)C1O	233	InChI=1S/C16H21NO7/c1-8(19)10-3-5-11(6-4-10)23-16-13(17-9(2)20)15(22)14(21)12(7-18)24-16/h3-6,12-16,18,21-22H,7H2,1-2H3,(H,17,20)	A31	100	A4	Peptide01
P4797233		C21H21F3N6O2	446.43572	8	2	3.5	7	4	84.4	N4-(3-methoxyphenyl)-6-morpholino-N2-[3-(trifluoromethyl)phenyl]-1,3,5-triazine-2,4-diamine		QZPBQOJGSNLVTJ-UHFFFAOYSA-N	COc1cccc(Nc2nc(Nc3cccc(c3)C(F)(F)F)nc(n2)N4CCOCC4)c1	321	InChI=1S/C21H21F3N6O2/c1-31-17-7-3-6-16(13-17)26-19-27-18(28-20(29-19)30-8-10-32-11-9-30)25-15-5-2-4-14(12-15)21(22,23)24/h2-7,12-13H,8-11H2,1H3,(H2,25,26,27,28,29)	A32	100	A4	Peptide01
P7112891475		C22H20N2O4	376.4157	4	2	3.4	6	3	76.7	N1,N4-bis(2-methoxyphenyl)terephthalamide		JRZCFDYNUTXOCW-UHFFFAOYSA-N	COc1ccccc1NC(=O)c2ccc(cc2)C(=O)Nc3ccccc3OC	65	InChI=1S/C22H20N2O4/c1-27-19-9-5-3-7-17(19)23-21(25)15-11-13-16(14-12-15)22(26)24-18-8-4-6-10-20(18)28-2/h3-14H,1-2H3,(H,23,25)(H,24,26)	A33	100	A5	Peptide01
P0124100015		C26H23NO7	461.47571	7	2	4.5	11	3	119.0	2,3-dibenzoyloxy-4-(4-ethylanilino)-4-oxo-butanoic acid		BMRBVRCSVFQNPL-UHFFFAOYSA-N	CCc1ccc(NC(=O)C(OC(=O)c2ccccc2)C(OC(=O)c3ccccc3)C(=O)O)cc1	153	InChI=1S/C26H23NO7/c1-2-17-13-15-20(16-14-17)27-23(28)21(33-25(31)18-9-5-3-6-10-18)22(24(29)30)34-26(32)19-11-7-4-8-12-19/h3-16,21-22H,2H2,1H3,(H,27,28)(H,29,30)	A34	100	A5	Peptide01
P1094969		C28H29F2N3O3	493.55843	4	1	4.9	8	4	61.9	methyl rac-(2S)-2-[[4-[bis(4-fluorophenyl)methyl]piperazine-1-carbonyl]amino]-3-phenyl-propanoate		UHDAASJMMFQMAG-VWLOTQADSA-N	COC(=O)[C@H](Cc1ccccc1)NC(=O)N2CCN(CC2)C(c3ccc(F)cc3)c4ccc(F)cc4	241	InChI=1S/C28H29F2N3O3/c1-36-27(34)25(19-20-5-3-2-4-6-20)31-28(35)33-17-15-32(16-18-33)26(21-7-11-23(29)12-8-21)22-9-13-24(30)14-10-22/h2-14,25-26H,15-19H2,1H3,(H,31,35)/t25-/m0/s1	A35	100	A5	Peptide01
P1098603		C18H23NO5	333.38771	6	3	0.7	7	2	95.9	rac-(2S,3R)-2-[(4-ethyl-7-hydroxy-2-oxo-chromen-8-yl)methylamino]-3-methyl-pentanoic acid		MTYHBWBJOZPTDY-HWPZZCPQSA-N	CC[C@@H](C)[C@H](NCc1c(O)ccc2C(=CC(=O)Oc12)CC)C(=O)O	329	InChI=1S/C18H23NO5/c1-4-10(3)16(18(22)23)19-9-13-14(20)7-6-12-11(5-2)8-15(21)24-17(12)13/h6-8,10,16,19-20H,4-5,9H2,1-3H3,(H,22,23)/t10-,16+/m1/s1	A36	100	A5	Peptide01
P7211760310		C19H19N7O2S3	473.60098	8	3	2.3	6	4	200.6	4-[[4-(2-amino-4-methyl-thiazol-5-yl)thiazol-2-yl]amino]-N-(4,6-dimethylpyrimidin-2-yl)benzenesulfonamide		ZRDJWNISISVUHP-UHFFFAOYSA-N	Cc1cc(C)nc(NS(=O)(=O)c2ccc(Nc3nc(cs3)c4sc(N)nc4C)cc2)n1	73	InChI=1S/C19H19N7O2S3/c1-10-8-11(2)22-18(21-10)26-31(27,28)14-6-4-13(5-7-14)24-19-25-15(9-29-19)16-12(3)23-17(20)30-16/h4-9H,1-3H3,(H2,20,23)(H,24,25)(H,21,22,26)	A37	100	A5	Peptide01
P0110830293		C13H16ClNO3	269.73037	3	2	2.9	5	1	66.4	2-[(2-chlorobenzoyl)amino]-4-methyl-pentanoic acid		OBOAWEJPTDTTMB-UHFFFAOYSA-N	CC(C)CC(NC(=O)c1ccccc1Cl)C(=O)O	161	InChI=1S/C13H16ClNO3/c1-8(2)7-11(13(17)18)15-12(16)9-5-3-4-6-10(9)14/h3-6,8,11H,7H2,1-2H3,(H,15,16)(H,17,18)	A38	100	A5	Peptide01
P1331803		C17H22N2O5	334.37529	5	3	1.0	7	2	104.7	2-[[4-[(tetrahydrofuran-2-carbonylamino)methyl]benzoyl]amino]butanoic acid		QCKAQRKQYRREBJ-UHFFFAOYSA-N	CCC(NC(=O)c1ccc(CNC(=O)C2CCCO2)cc1)C(=O)O	249	InChI=1S/C17H22N2O5/c1-2-13(17(22)23)19-15(20)12-7-5-11(6-8-12)10-18-16(21)14-4-3-9-24-14/h5-8,13-14H,2-4,9-10H2,1H3,(H,18,21)(H,19,20)(H,22,23)	A39	100	A5	Peptide01
P1647318		C22H26N2O2	350.46472	2	1	3.3	6	3	49.4	2-phenyl-N-[rac-(1S)-1-benzyl-2-oxo-2-(1-piperidyl)ethyl]acetamide		AKDCXBNGCABAKQ-FQEVSTJZSA-N	O=C(Cc1ccccc1)N[C@@H](Cc2ccccc2)C(=O)N3CCCCC3	337	InChI=1S/C22H26N2O2/c25-21(17-19-12-6-2-7-13-19)23-20(16-18-10-4-1-5-11-18)22(26)24-14-8-3-9-15-24/h1-2,4-7,10-13,20H,3,8-9,14-17H2,(H,23,25)/t20-/m0/s1	A40	100	A5	Peptide01
P0127442333		C20H22N4O4	382.42274	4	4	0.9	9	2	144.4	N,N'-bis(2-carbamoylphenyl)hexanediamide		WLLPZNOSCPETGF-UHFFFAOYSA-N	NC(=O)c1ccccc1NC(=O)CCCCC(=O)Nc2ccccc2C(=O)N	81	InChI=1S/C20H22N4O4/c21-19(27)13-7-1-3-9-15(13)23-17(25)11-5-6-12-18(26)24-16-10-4-2-8-14(16)20(22)28/h1-4,7-10H,5-6,11-12H2,(H2,21,27)(H2,22,28)(H,23,25)(H,24,26)	A41	100	A6	Peptide01
P7020554655		C20H18ClN3O3	383.83776	3	2	3.5	6	3	84.2	N-[(1S)-1-benzyl-2-[(5-methylisoxazol-3-yl)amino]-2-oxo-ethyl]-3-chloro-benzamide		OSARGDWXFJAIDP-KRWDZBQOSA-N	Cc1onc(NC(=O)[C@H](Cc2ccccc2)NC(=O)c3cccc(Cl)c3)c1	169	InChI=1S/C20H18ClN3O3/c1-13-10-18(24-27-13)23-20(26)17(11-14-6-3-2-4-7-14)22-19(25)15-8-5-9-16(21)12-15/h2-10,12,17H,11H2,1H3,(H,22,25)(H,23,24,26)/t17-/m0/s1	A42	100	A6	Peptide01
P1305416		C26H26N2O3	414.50872	3	2	4.9	8	4	63.4	N-[2-(1H-indol-3-yl)-2-(4-methoxyphenyl)ethyl]-2-(4-methylphenoxy)acetamide		OOAUNMBNRPTQDR-UHFFFAOYSA-N	COc1ccc(cc1)C(CNC(=O)COc2ccc(C)cc2)c3c[nH]c4ccccc34	257	InChI=1S/C26H26N2O3/c1-18-7-11-21(12-8-18)31-17-26(29)28-15-23(19-9-13-20(30-2)14-10-19)24-16-27-25-6-4-3-5-22(24)25/h3-14,16,23,27H,15,17H2,1-2H3,(H,28,29)	A43	100	A6	Peptide01
P1157175		C19H26N8S	398.53667	7	3	2.8	8	4	113.3	1-benzyl-3-[(4,6-dipyrrolidin-1-yl-1,3,5-triazin-2-yl)amino]thiourea		HYPYGRQCMMEMON-UHFFFAOYSA-N	S=C(NCc1ccccc1)NNc2nc(nc(n2)N3CCCC3)N4CCCC4	345	InChI=1S/C19H26N8S/c28-19(20-14-15-8-2-1-3-9-15)25-24-16-21-17(26-10-4-5-11-26)23-18(22-16)27-12-6-7-13-27/h1-3,8-9H,4-7,10-14H2,(H2,20,25,28)(H,21,22,23,24)	A44	100	A6	Peptide01
P1094944		C16H28N4O6	372.42476	6	4	0.4	6	1	139.3	rac-(2S)-3-methyl-2-[[4-[[rac-(1S)-1-carboxy-2-methyl-propyl]carbamoyl]piperazine-1-carbonyl]amino]butanoic acid		SYIQGUTWMBZDPS-RYUDHWBXSA-N	CC(C)[C@H](NC(=O)N1CCN(CC1)C(=O)N[C@@H](C(C)C)C(=O)O)C(=O)O	353	InChI=1S/C16H28N4O6/c1-9(2)11(13(21)22)17-15(25)19-5-7-20(8-6-19)16(26)18-12(10(3)4)14(23)24/h9-12H,5-8H2,1-4H3,(H,17,25)(H,18,26)(H,21,22)(H,23,24)/t11-,12-/m0/s1	B1	100	A6	Peptide01
P1100543		C25H27NO6S	469.56104	7	2	4.3	10	3	127.2	rac-(2S)-3-benzylsulfanyl-2-[3-(7-methoxy-4,8-dimethyl-2-oxo-chromen-3-yl)propanoylamino]propanoic acid		DRPDQJXWWGSWPA-HXUWFJFHSA-N	COc1ccc2C(=C(CCC(=O)N[C@H](CSCc3ccccc3)C(=O)O)C(=O)Oc2c1C)C	441	InChI=1S/C25H27NO6S/c1-15-18-9-11-21(31-3)16(2)23(18)32-25(30)19(15)10-12-22(27)26-20(24(28)29)14-33-13-17-7-5-4-6-8-17/h4-9,11,20H,10,12-14H2,1-3H3,(H,26,27)(H,28,29)/t20-/m1/s1	B2	100	A6	Peptide01
P1045783		C14H19NO4	265.31183	4	2	2.2	6	1	75.6	2-[(3-methoxybenzoyl)amino]-4-methyl-pentanoic acid		MUMMHDPLNMLLKB-UHFFFAOYSA-N	COc1cccc(c1)C(=O)NC(CC(C)C)C(=O)O	529	InChI=1S/C14H19NO4/c1-9(2)7-12(14(17)18)15-13(16)10-5-4-6-11(8-10)19-3/h4-6,8-9,12H,7H2,1-3H3,(H,15,16)(H,17,18)	B3	100	A6	Peptide01
P1305573		C24H21FN2O2	388.44557	2	1	4.8	6	4	45.3	2-(4-fluorophenoxy)-N-[1H-indol-3-yl(phenyl)methyl]-N-methyl-acetamide		SBVIQLKIJUMPBB-UHFFFAOYSA-N	CN(C(c1ccccc1)c2c[nH]c3ccccc23)C(=O)COc4ccc(F)cc4	617	InChI=1S/C24H21FN2O2/c1-27(23(28)16-29-19-13-11-18(25)12-14-19)24(17-7-3-2-4-8-17)21-15-26-22-10-6-5-9-20(21)22/h2-15,24,26H,16H2,1H3	B4	100	A6	Peptide01
