well_location	ncgc_id	smiles	MW	iupac	XLogP	monoisotopic_mass	formula	compound_name	Platenumber	WellNumber	WellLetter	plate_id	mixed_location_plate
A3	NCGC00179941-03	COC1=CC(OC)=C(C(=O)CCC2=CC(OC)=C(OC)C=C2)C(O)=C1	346.4	3-(3,4-dimethoxyphenyl)-1-(2-hydroxy-4,6-dimethoxyphenyl)propan-1-one	3.6	346.142		NCGC00179941-03	1	3	A	01P	01P_A3
A3	NCGC00180811-02	COC1=CC2=C(OC(CC2=O)C3=CC=CC=C3)C=C1	254.3	6-methoxy-2-phenyl-2,3-dihydrochromen-4-one	3.0	254.094		NCGC00180811-02	1	3	A	01P	01P_A3
A3	NCGC00347787-02	COC1=CC2=C(OC3C2COC4=CC(OC)=C(OC)C=C34)C(OC)=C1OC	374.4	2,3,8,9,10-pentamethoxy-6a,11a-dihydro-6H-[1]benzofuro[3,2-c]chromene	2.8	374.137		NCGC00347787-02	1	3	A	01P	01P_A3
A3	NCGC00380090-01	C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](OC3=C(OC4=CC(O[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)=CC(O)=C4C3=O)C6=CC=C(O)C=C6)[C@H](O)[C@@H](O)[C@H]2OC(=O)\C=C\C7=CC=C(O)C=C7)[C@H](O)[C@H](O)[C@H]1O	886.8	[(2R,3R,4R,5R,6S)-4,5-dihydroxy-6-[5-hydroxy-2-(4-hydroxyphenyl)-4-oxo-7-[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxychromen-3-yl]oxy-2-[[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxymethyl]oxan-3-yl] (E)-3-(4-hydroxyphenyl)prop-2-enoate	0.1	886.253		NCGC00380090-01	1	3	A	01P	01P_A3
A3	NCGC00380091-01	OCC1OC(OC2C=CC(O)C(OC(=O)\C=C\C3=CC=C(O)C(O)=C3)C2O)C(O)C(O)C1O	470.4	[2,6-dihydroxy-5-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxycyclohex-3-en-1-yl] (E)-3-(3,4-dihydroxyphenyl)prop-2-enoate	-1.7	470.142		NCGC00380091-01	1	3	A	01P	01P_A3
A3	NCGC00380524-01	OC(=O)[C@@H](CC1=CC=C(O)C(O)=C1)OC(=O)\C=C\C2=CC=C(O)C3=C2C(C(O3)C4=CC=C(O)C(O)=C4)C(=O)O[C@H](CC5=CC(O)=C(O)C=C5)C(O)=O	718.6	(2R)-2-[(E)-3-[3-[(1R)-1-carboxy-2-(3,4-dihydroxyphenyl)ethoxy]carbonyl-2-(3,4-dihydroxyphenyl)-7-hydroxy-2,3-dihydro-1-benzofuran-4-yl]prop-2-enoyl]oxy-3-(3,4-dihydroxyphenyl)propanoic acid	4.0	718.153		NCGC00380524-01	1	3	A	01P	01P_A3
A4	NCGC00179791-02	OC[C@H]1O[C@@H](OC(CCC2=CC=C(O)C=C2)CC(=O)CCC3=CC=C(O)C=C3)[C@H](O)[C@@H](O)[C@@H]1O	476.5	1,7-bis(4-hydroxyphenyl)-5-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyheptan-3-one	1.2	476.205		NCGC00179791-02	1	4	A	01P	01P_A4
A4	NCGC00179791-02	OC[C@H]1O[C@@H](OC(CCC2=CC=C(O)C=C2)CC(=O)CCC3=CC=C(O)C=C3)[C@H](O)[C@@H](O)[C@@H]1O	476.5	1,7-bis(4-hydroxyphenyl)-5-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyheptan-3-one	1.2	476.205		NCGC00179791-02	1	4	A	01P	01P_A4
A4	NCGC00380093-01	COC(=O)C1=COC(OC2OC(CO)C(O)C(O)C2O)C(C=C)C1CC=O	388.4	methyl 3-ethenyl-4-(2-oxoethyl)-2-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydro-2H-pyran-5-carboxylate	-1.6	388.137		NCGC00380093-01	1	4	A	01P	01P_A4
A4	NCGC00380094-01	OC1C(OC(=O)\C=C\C2=CC=C(O)C(O)=C2)C=C(OC1C(O)=O)C(O)=O	366.3	4-[(E)-3-(3,4-dihydroxyphenyl)prop-2-enoyl]oxy-3-hydroxy-3,4-dihydro-2H-pyran-2,6-dicarboxylic acid	0.9	366.059		NCGC00380094-01	1	4	A	01P	01P_A4
A4	NCGC00380098-01	OCCC(CCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C(CO)C=C	336.4	(2R,3R,4S,5S,6R)-2-[3-(2-hydroxyethyl)-4-(hydroxymethyl)hex-5-enoxy]-6-(hydroxymethyl)oxane-3,4,5-triol	-1.6	336.178		NCGC00380098-01	1	4	A	01P	01P_A4
A4	NCGC00380532-01	CC(OC(C)=O)C(O)(CC1=CC=C(O)C=C1)C(=O)OCC2=CC=C(OC3OC(CO)C(O)C(O)C3O)C=C2	536.5	[4-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyphenyl]methyl 3-acetyloxy-2-hydroxy-2-[(4-hydroxyphenyl)methyl]butanoate	0.6	536.189		NCGC00380532-01	1	4	A	01P	01P_A4
A5	NCGC00380099-01	CC(=O)OC1C(O)C(CCC1C2=CC=CC=C2)C3=CC=CC=C3	310.4	(2-hydroxy-3,6-diphenylcyclohexyl) acetate	3.5	310.157		NCGC00380099-01	1	5	A	01P	01P_A5
A5	NCGC00380099-01	CC(=O)OC1C(O)C(CCC1C2=CC=CC=C2)C3=CC=CC=C3	310.4	(2-hydroxy-3,6-diphenylcyclohexyl) acetate	3.5	310.157		NCGC00380099-01	1	5	A	01P	01P_A5
A5	NCGC00380100-01	NC1=NC(=O)[C@@H](CC2=CNC3=CC=CC=C23)O1	229.2	(5R)-2-amino-5-(1H-indol-3-ylmethyl)-1,3-oxazol-4-one	1.3	229.085		NCGC00380100-01	1	5	A	01P	01P_A5
A5	NCGC00380101-01	CC(O)(CO)C1CCC(C)(O1)C2=CC=C(C=C2)C(O)=O	280.3	4-[5-(1,2-dihydroxypropan-2-yl)-2-methyloxolan-2-yl]benzoic acid	0.8	280.131		NCGC00380101-01	1	5	A	01P	01P_A5
A5	NCGC00380102-01	CCCCCCCCCCCCCCCCC1C(OC)C(C)OC1=O	354.6	3-hexadecyl-4-methoxy-5-methyloxolan-2-one	8.7	354.313		NCGC00380102-01	1	5	A	01P	01P_A5
A5	NCGC00380104-01	COC1=CC(O)=C2C(=O)C(O[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)=C(OC2=C1OC(C)=O)C4=CC=C(O)C=C4	504.4	[5-hydroxy-2-(4-hydroxyphenyl)-7-methoxy-4-oxo-3-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxychromen-8-yl] acetate	1.3	504.127		NCGC00380104-01	1	5	A	01P	01P_A5
A5	NCGC00380105-01	C[C@@H]1O[C@@H](O[C@@H]2[C@@H](CO)O[C@@H](OC3CCC4(C)C5CCC(CO)(CC5=CCC4C3(C)C)C(CO)OC6OC(CO)C(O)C(O)C6O)[C@H](O)[C@H]2O)[C@H](O)[C@H](O)[C@H]1O	808.9	(2S,3R,4R,5R,6S)-2-[(2R,3S,4R,5R,6R)-4,5-dihydroxy-2-(hydroxymethyl)-6-[[7-(hydroxymethyl)-7-[2-hydroxy-1-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyethyl]-1,1,4a-trimethyl-3,4,4b,5,6,8,10,10a-octahydro-2H-phenanthren-2-yl]oxy]oxan-3-yl]oxy-6-methyloxane-3,4,5-triol	-3.1	808.409		NCGC00380105-01	1	5	A	01P	01P_A5
A6	NCGC00169371-02	COC1=C(O)C=CC(\C=C\C(=O)NCC(O)C2=CC=C(O)C=C2)=C1	329.3	(E)-N-[2-hydroxy-2-(4-hydroxyphenyl)ethyl]-3-(4-hydroxy-3-methoxyphenyl)prop-2-enamide	1.8	329.126		NCGC00169371-02	1	6	A	01P	01P_A6
A6	NCGC00380108-01	CCC\C=C\C=C\C(CCC(=O)OC)C(CO)C(O)=O	284.3	(4E,6E)-2-(hydroxymethyl)-3-(3-methoxy-3-oxopropyl)deca-4,6-dienoic acid	2.0	284.162		NCGC00380108-01	1	6	A	01P	01P_A6
A6	NCGC00380108-01	CCC\C=C\C=C\C(CCC(=O)OC)C(CO)C(O)=O	284.3	(4E,6E)-2-(hydroxymethyl)-3-(3-methoxy-3-oxopropyl)deca-4,6-dienoic acid	2.0	284.162		NCGC00380108-01	1	6	A	01P	01P_A6
A6	NCGC00380109-01	COC1=C(O)C=CC(OC2OC(COC3OCC(O)C(O)C3O)C(O)C(O)C2O)=C1	434.4	2-(4-hydroxy-3-methoxyphenoxy)-6-[(3,4,5-trihydroxyoxan-2-yl)oxymethyl]oxane-3,4,5-triol	-2.7	434.142		NCGC00380109-01	1	6	A	01P	01P_A6
A6	NCGC00380111-01	CC1CC(O)C(O)C2=CC(=O)C3(OC3C12C)C(=C)COC(=O)C(O)C(O)CO	398.4	2-(4,5-dihydroxy-7,7a-dimethyl-2-oxo-5,6,7,7b-tetrahydro-4H-naphtho[1,2-b]oxiren-1a-yl)prop-2-enyl 2,3,4-trihydroxybutanoate	-1.6	398.158		NCGC00380111-01	1	6	A	01P	01P_A6
A6	NCGC00380112-01	CCC(C)(O)CCCCCC1OC(=O)C=C1	226.3	2-(6-hydroxy-6-methyloctyl)-2H-furan-5-one	2.7	226.157		NCGC00380112-01	1	6	A	01P	01P_A6
A6	NCGC00380531-01	COC1=C(O[C@@H]2O[C@H](CO[C@H]3OC[C@](O)(CO)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)C=C4OC=C(C(=O)C4=C1)C5=CC6=C(OCO6)C=C5	606.5	3-(1,3-benzodioxol-5-yl)-7-[(2S,3R,4S,5S,6R)-6-[[(2S,3R,4R)-3,4-dihydroxy-4-(hydroxymethyl)oxolan-2-yl]oxymethyl]-3,4,5-trihydroxyoxan-2-yl]oxy-6-methoxychromen-4-one	-1.0	606.158		NCGC00380531-01	1	6	A	01P	01P_A6
A6	NCGC00380565-01	OC[C@H]1O[C@@H](OC2OC=C(C(CC(=O)OCCC3=CC(O)=C(O)C=C3)\C2=C\COC(=O)\C=C\C4=CC=CC=C4)C(=O)OCCC5=CC=C(O)C(O)=C5)[C@H](O)[C@@H](O)[C@@H]1O	808.8	2-(3,4-dihydroxyphenyl)ethyl (5Z)-4-[2-[2-(3,4-dihydroxyphenyl)ethoxy]-2-oxoethyl]-5-[2-[(E)-3-phenylprop-2-enoyl]oxyethylidene]-6-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4H-pyran-3-carboxylate	2.2	808.258		NCGC00380565-01	1	6	A	01P	01P_A6
A7	NCGC00169840-02	COC1=C(O)C=CC(CC2COC(C2COC(=O)\C=C\C3=CC=C(O)C=C3)C4=CC(OC)=C(O)C=C4)=C1	506.5	[2-(4-hydroxy-3-methoxyphenyl)-4-[(4-hydroxy-3-methoxyphenyl)methyl]oxolan-3-yl]methyl (E)-3-(4-hydroxyphenyl)prop-2-enoate	4.7	506.194		NCGC00169840-02	1	7	A	01P	01P_A7
A7	NCGC00380113-01	CC(CC(O)C(C)(O)C1CCC2(O)C3=CC(=O)C4CC(O)C(O)CC4(C)C3CCC12C)C(C)(O)CO	510.7	2,3,14-trihydroxy-10,13-dimethyl-17-(2,3,6,7-tetrahydroxy-5,6-dimethylheptan-2-yl)-2,3,4,5,9,11,12,15,16,17-decahydro-1H-cyclopenta[a]phenanthren-6-one	-0.2	510.319		NCGC00380113-01	1	7	A	01P	01P_A7
A7	NCGC00380114-01	OC(=O)C1=CC2=C(C(O)=C1)C(=O)C3=CC(O)=CC=C3O2	272.2	1,7-dihydroxy-9-oxoxanthene-3-carboxylic acid	2.3	272.032		NCGC00380114-01	1	7	A	01P	01P_A7
A7	NCGC00380116-01	CCCCCCC(C(O)CC(O)=O)C(O)=O	232.3	2-hexyl-3-hydroxypentanedioic acid	1.7	232.131		NCGC00380116-01	1	7	A	01P	01P_A7
A7	NCGC00380118-01	CC(C)C(=O)OC1CC2C3(C)C(CC(OC(=O)C(C)C)C2(C)C45OC4CC(C6=COC=C6)C15C)C(C)(C)OC(=O)CC3OC(C)=O	642.8		5.6	642.34		NCGC00380118-01	1	7	A	01P	01P_A7
A7	NCGC00380119-01	CC(O)C(O)CCCCC1=C(C)C(=O)OC1	228.3	3-(5,6-dihydroxyheptyl)-4-methyl-2H-furan-5-one	0.8	228.136		NCGC00380119-01	1	7	A	01P	01P_A7
A7	NCGC00380543-01	O[C@H]1[C@H](O)[C@@H](COC(=O)C2=CC(O)=C(O)C(O)=C2)O[C@@H](OC3CCC(=O)C4=C(O)C=CC(O)=C34)[C@@H]1O	508.4	[(2R,3S,4S,5R,6R)-6-[(5,8-dihydroxy-4-oxo-2,3-dihydro-1H-naphthalen-1-yl)oxy]-3,4,5-trihydroxyoxan-2-yl]methyl 3,4,5-trihydroxybenzoate	-0.2	508.122		NCGC00380543-01	1	7	A	01P	01P_A7
A7	NCGC00380553-01	OC1C(O)C(COC(=O)C2=CC(O)=C(O)C(O)=C2)OC(OC(=O)C3=CC(O)=C(O)C(O)=C3)C1O	484.4	[3,4,5-trihydroxy-6-(3,4,5-trihydroxybenzoyl)oxyoxan-2-yl]methyl 3,4,5-trihydroxybenzoate	-0.8	484.085		NCGC00380553-01	1	7	A	01P	01P_A7
A8	NCGC00380125-01	CCC(C)C(OC(C)=O)C(=O)OC(C(C)CC)C(=O)OC(C(C)CC)C(=O)OC(C(C)CC)C(=O)OC(C(C)CC)C(=O)OCC(O)C(O)C(O)C(O)CO	794.9	[3-methyl-1-[3-methyl-1-[3-methyl-1-[3-methyl-1-oxo-1-(2,3,4,5,6-pentahydroxyhexoxy)pentan-2-yl]oxy-1-oxopentan-2-yl]oxy-1-oxopentan-2-yl]oxy-1-oxopentan-2-yl] 2-acetyloxy-3-methylpentanoate	5.2	794.43		NCGC00380125-01	1	8	A	01P	01P_A8
A8	NCGC00380127-01	CC1C(OC(=O)C2=CC=CC=C2)C(OC(=O)C3=CC=CC=C3)C4C1C(OC5OC(CO)C(O)C(O)C5O)OC=C4C(O)=O	600.6	5,6-dibenzoyloxy-7-methyl-1-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-1,4a,5,6,7,7a-hexahydrocyclopenta[c]pyran-4-carboxylic acid	1.8	600.184		NCGC00380127-01	1	8	A	01P	01P_A8
A8	NCGC00380530-01	COC1=C(OC2OC(COC3OCC(O)(CO)C3O)C(O)C(O)C2O)C=C4OC=C(C(=O)C4=C1OC)C5=CC=C6OCOC6=C5	636.6	3-(1,3-benzodioxol-5-yl)-7-[6-[[3,4-dihydroxy-4-(hydroxymethyl)oxolan-2-yl]oxymethyl]-3,4,5-trihydroxyoxan-2-yl]oxy-5,6-dimethoxychromen-4-one	-1.0	636.169		NCGC00380530-01	1	8	A	01P	01P_A8
A8	NCGC00380544-01	COC1CC(OC2CCC3(C)C4CCC5(C)C(CCC5(O)C4CC=C3C2)C(C)OC6OC(COC7OC(COC8OC(CO)C(O)C(O)C8O)C(O)C(O)C7O)C(O)C(O)C6O)OC(C)C1OC9OC(C)C(OC(=O)C(\C)=C\C)C(OC)C9O	1207.4	[5-hydroxy-6-[6-[[14-hydroxy-10,13-dimethyl-17-[1-[3,4,5-trihydroxy-6-[[3,4,5-trihydroxy-6-[[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]oxan-2-yl]oxymethyl]oxan-2-yl]oxyethyl]-1,2,3,4,7,8,9,11,12,15,16,17-dodecahydrocyclopenta[a]phenanthren-3-yl]oxy]-4-methoxy-2-methyloxan-3-yl]oxy-4-methoxy-2-methyloxan-3-yl] (E)-2-methylbut-2-enoate	-1.3	1206.603		NCGC00380544-01	1	8	A	01P	01P_A8
A9	NCGC00169368-02	COC1=CC(=CC(OC)=C1OC)C2OCC3C2COC3C4=CC(OC)=C(OC)C(OC)=C4	446.5	3,6-bis(3,4,5-trimethoxyphenyl)-1,3,3a,4,6,6a-hexahydrofuro[3,4-c]furan	2.9	446.194		NCGC00169368-02	1	9	A	01P	01P_A9
A9	NCGC00169368-02	COC1=CC(=CC(OC)=C1OC)C2OCC3C2COC3C4=CC(OC)=C(OC)C(OC)=C4	446.5	3,6-bis(3,4,5-trimethoxyphenyl)-1,3,3a,4,6,6a-hexahydrofuro[3,4-c]furan	2.9	446.194		NCGC00169368-02	1	9	A	01P	01P_A9
A9	NCGC00169619-02	C[C@@H]1O[C@@H](O[C@H]2[C@@H](C)O[C@@H](O[C@@](C)(CC[C@@]3(C)[C@H](C)C[C@H](O[C@@H]4O[C@@H](C)[C@H](O[C@@H]5O[C@H](COC(C)=O)[C@@H](O)[C@H](O)[C@H]5O)[C@@H](O)[C@H]4O)[C@]6(C)[C@@H]3CCC=C6C)C=C)[C@H](O)[C@H]2O)[C@H](O)[C@H](O)[C@H]1O	949.1	[(2R,3S,4S,5R,6S)-6-[(2S,3R,4S,5R,6R)-6-[[(1S,3R,4S,4aR,8aR)-4-[(3S)-3-[(2S,3R,4R,5R,6R)-3,4-dihydroxy-6-methyl-5-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxy-3-methylpent-4-enyl]-3,4,8,8a-tetramethyl-1,2,3,4a,5,6-hexahydronaphthalen-1-yl]oxy]-4,5-dihydroxy-2-methyloxan-3-yl]oxy-3,4,5-trihydroxyoxan-2-yl]methyl acetate	-0.6	948.493		NCGC00169619-02	1	9	A	01P	01P_A9
A9	NCGC00179826-02	COC1=C2OC(=CC2=CC(=C1)C(O)CCOC3OC(CO)C(O)C(O)C3O)C4=CC5=C(OCO5)C=C4	504.5	2-[3-[2-(1,3-benzodioxol-5-yl)-7-methoxy-1-benzofuran-5-yl]-3-hydroxypropoxy]-6-(hydroxymethyl)oxane-3,4,5-triol	1.0	504.163		NCGC00179826-02	1	9	A	01P	01P_A9
A9	NCGC00380129-01	CC1OC(OC\C(C)=C\CC\C(C)=C\CCC(C)(O)C=C)C(O)C(O)C1OC2OC(C)C(OC3OC(C)C(OC4OC(C)C(OC(C)=O)C(O)C4O)C(O)C3O)C(O)C2O	865.0	[6-[6-[6-[4,5-dihydroxy-6-[(2E,6E)-10-hydroxy-2,6,10-trimethyldodeca-2,6,11-trienoxy]-2-methyloxan-3-yl]oxy-4,5-dihydroxy-2-methyloxan-3-yl]oxy-4,5-dihydroxy-2-methyloxan-3-yl]oxy-4,5-dihydroxy-2-methyloxan-3-yl] acetate	-0.5	864.435		NCGC00380129-01	1	9	A	01P	01P_A9
A9	NCGC00380132-01	O=C1C=CC2=NC=CC3=C2N1C4=C3C=CC=C4	220.2		2.4	220.064		NCGC00380132-01	1	9	A	01P	01P_A9
A9	NCGC00380133-01	CC1=C(C)C(O)=CC(O)=C1	138.2	4,5-dimethylbenzene-1,3-diol	1.9	138.068		NCGC00380133-01	1	9	A	01P	01P_A9
A9	NCGC00380537-01	COC1=CC(O)=C2C(=O)C(OC3OC(COC(=O)CC(C)(O)CC(O)=O)C(OC4OC(C)C(O)C(O)C4O)C(O)C3O)=C(OC2=C1)C5=CC=C(O)C=C5	752.7	5-[[4,5-dihydroxy-6-[5-hydroxy-2-(4-hydroxyphenyl)-7-methoxy-4-oxochromen-3-yl]oxy-3-(3,4,5-trihydroxy-6-methyloxan-2-yl)oxyoxan-2-yl]methoxy]-3-hydroxy-3-methyl-5-oxopentanoic acid	-1.0	752.216		NCGC00380537-01	1	9	A	01P	01P_A9
A9	NCGC00380564-01	COC1=CC(O)=C2C(=O)C(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O[C@@H]4OC[C@@H](O)[C@H](O)[C@H]4O)=C(OC2=C1)C5=CC(O)=C(O)C=C5	610.5	3-[(2S,3R,4S,5S,6R)-4,5-dihydroxy-6-(hydroxymethyl)-3-[(2S,3R,4S,5R)-3,4,5-trihydroxyoxan-2-yl]oxyoxan-2-yl]oxy-2-(3,4-dihydroxyphenyl)-5-hydroxy-7-methoxychromen-4-one	-0.8	610.153		NCGC00380564-01	1	9	A	01P	01P_A9
A10	NCGC00169117-02	C[C@H]1OC2=C(C(=O)[C@H]1C)C(O)=C3C=CC(C)(C)OC3=C2C(CC(O)=O)C4=CC=CC=C4	422.5	3-[(7S,8R)-5-hydroxy-2,2,7,8-tetramethyl-6-oxo-7,8-dihydropyrano[3,2-g]chromen-10-yl]-3-phenylpropanoic acid	4.7	422.173		NCGC00169117-02	1	10	A	01P	01P_A10
A10	NCGC00180397-02	CC1=CC(C(O)=O)=C(O)C(C)=C1OC(=O)C2=CC(C)=C(O)C(C)=C2O	346.3	4-(2,4-dihydroxy-3,5-dimethylbenzoyl)oxy-2-hydroxy-3,5-dimethylbenzoic acid	4.4	346.105		NCGC00180397-02	1	10	A	01P	01P_A10
A10	NCGC00380135-01	C[C@H]1CC[C@@H]2[C@@H](OC(=O)C2=C)C(C)(O)[C@@]13CCC(=O)O3	280.3	(3aS,6S,7R,8aR)-8-hydroxy-6,8-dimethyl-3-methylidenespiro[4,5,6,8a-tetrahydro-3aH-cyclohepta[b]furan-7,5'-oxolane]-2,2'-dione	1.3	280.131		NCGC00380135-01	1	10	A	01P	01P_A10
A10	NCGC00380136-01	CC(O)C(O)CCCCC(=O)C(C)C(=O)N1CCC=C1	283.4	1-(2,3-dihydropyrrol-1-yl)-8,9-dihydroxy-2-methyldecane-1,3-dione	0.7	283.178		NCGC00380136-01	1	10	A	01P	01P_A10
A10	NCGC00380137-01	COC1=C(O)C=C2CCC3=CC(O)=CC4=C3C2=C1CO4	270.3		2.6	270.089		NCGC00380137-01	1	10	A	01P	01P_A10
A10	NCGC00380138-01	CCC1C(O)C2OC(=O)N3CCC=C1C23	209.2		0.3	209.105		NCGC00380138-01	1	10	A	01P	01P_A10
A10	NCGC00380571-01	COC1=CC(O)=C(CCC(O)=O)C=C1C2OC(=O)C(C)(O)C2O	326.3	3-[5-(3,4-dihydroxy-4-methyl-5-oxooxolan-2-yl)-2-hydroxy-4-methoxyphenyl]propanoic acid	-0.3	326.1		NCGC00380571-01	1	10	A	01P	01P_A10
A11	NCGC00169598-02	OC1=CC=C(CCCCC(=O)CCC2=CC=C(O)C=C2)C=C1	298.4	1,7-bis(4-hydroxyphenyl)heptan-3-one	3.9	298.157		NCGC00169598-02	1	11	A	01P	01P_A11
